protein1	protein2	organism1	organism2	org1.taxid	org2.taxid
H2A1K9	H2A2H7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1T7	D3XDS2	Murine cytomegalovirus (strain Smith)	Murine cytomegalovirus (strain Smith)	10367	10367
H2A1V3	D3XDN9	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A1V3	D3XDP0	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A1V3	H2A1T7	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A1V3	H2A298	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1V3	H2A2C4	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1V3	H2A2D3	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1W4	D3XDZ0	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A1W4	H2A286	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1W4	H2A2R7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1Y3	A0A1S5YGJ7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1Y3	A0A1S5YGU7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1Y3	A0A1S5YGX5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1Y3	A0A1S5YH00	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1Y3	A0A1S5YH01	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1Y3	D3XDZ0	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A1Y3	H2A1Z0	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1Y3	H2A2F7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1Y3	H2A2F8	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1Y3	H2A2H0	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1Y3	H2A2J5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1Y3	H2A2W9	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1Z0	D3XDZ0	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A1Z0	H2A238	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1Z0	H2A242	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1Z0	H2A252	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1Z0	H2A293	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1Z0	H2A2F7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1Z0	H2A2I9	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1Z0	H2A2J5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1Z7	H2A2G7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A1Z7	H2A2H6	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A234	H2A248	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A234	H2A293	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A234	H2A2B1	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A234	H2A2D6	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A234	H2A2E2	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A238	H2A2J0	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A238	H2A2J5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A240	H2A234	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A240	H2A248	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A240	H2A276	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A240	H2A2E2	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A240	H2A2G1	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A240	H2A2H7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A241	H2A234	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A241	H2A248	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A241	H2A284	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A241	H2A2E2	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A241	H2A2H7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A241	H2A2I7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A242	D3XDZ0	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A242	H2A2C4	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A242	H2A2F7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A244	H2A248	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A244	H2A2E2	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A244	H2A2H7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A244	H2A2I7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A245	H2A248	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A245	H2A2E2	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A245	H2A2H7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A248	H2A2F7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A248	H2A2J0	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A248	H2A2J5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A252	D3XDZ0	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A252	H2A2C4	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A252	H2A2F7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A252	H2A2H0	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A252	H2A2J5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A260	H2A2D6	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A260	H2A2J5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A264	D3XDZ0	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A270	D3XDL1	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A270	D3XDZ0	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A270	H2A2F7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A270	H2A2H0	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A270	H2A2I9	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A270	H2A2J0	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A270	H2A2J5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A271	A0A1S5YGL2	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A271	A0A1S5YGR5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A271	A0A1S5YGX5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A271	A0A1S5YH00	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A271	D3XDT9	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A271	D3XDY5	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A271	H2A241	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A271	H2A293	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A271	H2A2H0	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A271	H2A2I9	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A271	H2A2J5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A275	D3XDZ0	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A275	H2A1J2	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A275	H2A251	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A275	H2A2D6	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A275	H2A2E7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A275	H2A2H6	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A276	H2A2H2	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A279	D3XDZ0	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A279	H2A2C4	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A279	H2A2D3	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A279	H2A2H0	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A281	D3XDZ0	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A281	H2A281	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A281	H2A284	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A285	H2A2B7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A286	H2A248	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A286	H2A252	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A286	H2A286	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A286	H2A2B7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A286	H2A2C2	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A286	H2A2G1	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A286	H2A2H7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A286	H2A2U9	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A288	D3XDZ0	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A288	H2A234	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A288	H2A239	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A288	H2A241	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A288	H2A245	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A288	H2A276	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A288	H2A293	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A288	H2A2C4	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A288	H2A2E7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A288	H2A2F7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A288	H2A2J5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A291	A0A1S5YGP5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A291	A0A1S5YGZ4	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A291	A0A1S5YH00	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A291	H2A288	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A291	H2A2D3	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A291	H2A2J5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A291	H2A365	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A292	D3XDN9	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A292	H2A2C8	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A293	H2A248	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A293	H2A2E2	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A293	H2A2H7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A293	H2A2I7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A293	H2A2J0	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A294	D3XDI5	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A294	H2A245	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A298	H2A257	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A298	H2A298	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2A9	H2A2F8	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2B1	H2A2B1	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2B4	D3XDK8	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2B4	H2A254	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2B4	H2A2M8	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2B7	D3XDN6	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A2B8	H2A1W4	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2B8	H2A242	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2B8	H2A252	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2B8	H2A254	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2B8	H2A279	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2B8	H2A286	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2B8	H2A2C4	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2B8	H2A2E5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2B8	H2A2F7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2B8	H2A2H7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2B8	H2A2I9	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2B8	H2A2J0	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2B8	H2A2U9	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2B8	H2A2W1	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2B8	Q83145	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2C1	D3XDZ0	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A2C1	H2A269	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2C1	H2A2C4	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2C1	H2A2D3	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2C1	H2A2H0	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2C1	H2A2J5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2C4	D3XDL1	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A2C4	H2A2C4	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2C5	A0A1S5YGP5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2C5	H2A284	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2C8	H2A2D3	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2D6	D3XDM0	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A2D6	H2A248	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2D6	H2A269	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2D6	H2A2C4	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2D6	H2A2E2	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2D6	H2A2I7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E2	H2A2C2	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E2	H2A2J0	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E2	H2A2J5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E5	D3XDZ0	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A2E5	H2A1K9	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E5	H2A286	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E5	H2A2F7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E5	H2A2H8	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E5	H2A2I2	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E5	H2A2I9	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E5	H2A2R5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	A0A1S5YGZ3	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	D3XDZ0	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A2E6	H2A1Z0	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A1Z7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A234	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A241	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A243	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A245	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A248	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A249	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A251	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A271	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A276	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A286	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A288	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A293	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A2C1	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A2C2	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A2D6	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A2E2	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A2E6	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A2E7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A2H7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A2I0	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A2I2	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A2I7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A2I9	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A2J0	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A2J5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A2R5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	H2A2U2	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	Q1XE18	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E6	Q69152	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E7	H2A234	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E7	H2A245	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E7	H2A248	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E7	H2A260	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E7	H2A2E2	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2E7	H2A2H7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2F5	A0A1S5YGL2	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2F5	A0A1S5YGT3	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2F5	A0A1S5YH00	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2F5	D3XDU0	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2F5	H2A241	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2F5	H2A2D6	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2F5	H2A2E7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2F5	H2A2J5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2F7	D3XDZ0	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A2F7	H2A2F7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2F8	H2A2C4	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2F8	H2A2D3	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2G1	D3XDZ0	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A2G1	H2A252	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2G1	H2A2F7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2G2	H2A2E7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2G4	H2A284	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2G7	A0A1S5YGS0	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2G7	A0A1S5YGV6	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2G7	A0A1S5YGZ3	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2G7	A0A1S5YH01	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2G7	D3XDZ0	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A2G7	H2A1C7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2G7	H2A288	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2G7	H2A2C4	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2G7	H2A2F7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2G7	H2A2G8	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2G7	H2A2W9	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2G7	H2A365	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2G7	H2A3B2	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2G7	Q83149	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2G7	YP_214107	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2H0	D3XDM0	Murid betaherpesvirus 1	Murine cytomegalovirus (strain Smith)	10366	10367
H2A2H0	H2A269	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2H0	H2A2H0	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2H6	H2A2J5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2I0	H2A2J5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2I5	H2A234	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2I5	H2A241	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2I5	H2A244	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2I5	H2A245	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2I5	H2A293	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2I5	H2A2C2	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2I5	H2A2D6	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2I5	H2A2E7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2I5	H2A2I9	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2I5	H2A2J0	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2I5	H2A2J5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2I9	H2A238	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2I9	H2A248	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2I9	H2A249	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2I9	H2A293	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2I9	H2A2E2	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2I9	H2A2E7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2I9	H2A2I9	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2I9	H2A2J5	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2J6	H2A2A9	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2Q3	H2A2A6	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2Q3	H2A2C8	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2R5	A8E0M7	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2R5	H2A1K9	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
H2A2R5	H2A1W4	Murid betaherpesvirus 1	Murid betaherpesvirus 1	10366	10366
